Designator,Mid X,Mid Y,Layer,Rotation
C1,30.48,99.06,Bottom,180.0
C2,41.27,94.62,Bottom,180.0
C3,30.16,77.47,Bottom,180.0
C4,40.96,73.03,Bottom,180.0
C5,30.16,55.88,Bottom,180.0
C6,40.96,29.85,Bottom,180.0
C7,30.16,34.29,Bottom,180.0
C8,40.96,51.44,Bottom,180.0
C9, 3.18,88.58,Bottom,90.0
C10, 3.18,66.99,Bottom,90.0
C11, 3.18,45.40,Bottom,90.0
C12, 3.18,23.50,Bottom,90.0
C13,64.66,33.76,Bottom,0.0
C14,62.87,55.25,Bottom,180.0
C15,62.87,98.43,Bottom,180.0
C16,62.87,76.84,Bottom,180.0
C17,17.14,88.58,Bottom,90.0
C18,17.14,66.99,Bottom,90.0
C19,18.41,95.57,Bottom,90.0
C20,18.41,73.98,Bottom,90.0
C21,18.41,52.39,Bottom,90.0
C22,18.41,30.48,Bottom,90.0
C23,17.14,45.40,Bottom,90.0
C24,17.14,23.81,Bottom,90.0
C25,34.93, 4.45,Bottom,270.0
C26,41.91, 1.27,Bottom,180.0
C27,36.83, 1.27,Bottom,180.0
C28,42.23, 6.67,Bottom,0.0
C29,32.38,15.88,Bottom,180.0
C30,43.60, 8.89,Bottom,90.0
C31,31.12,45.72,Bottom,0.0
C32,18.10,14.61,Bottom,0.0
C33, 7.30,13.34,Bottom,0.0
C34,14.61, 9.53,Bottom,0.0
C35, 7.30,14.61,Bottom,180.0
C37,58.42, 9.53,Bottom,180.0
C38,25.40, 1.27,Bottom,180.0
C39,58.42, 3.49,Bottom,180.0
C40,20.32, 5.40,Bottom,180.0
C41,45.40, 6.03,Bottom,270.0
C42,45.40, 1.27,Bottom,180.0
C43,56.36,84.77,Bottom,270.0
C44,56.83,63.18,Bottom,270.0
C45,55.56,41.59,Bottom,270.0
C46,55.09,20.80,Bottom,270.0
C47,29.21, 7.62,Bottom,270.0
C48,58.42, 6.67,Bottom,0.0
C49,56.20,80.80,Bottom,0.0
C50,56.83,59.05,Bottom,0.0
C51,56.83,37.78,Bottom,0.0
C52,53.34,20.64,Bottom,270.0
C53,56.83,98.58,Bottom,180.0
C54,62.87,78.74,Bottom,180.0
C55,62.87,57.15,Bottom,180.0
C56,61.12,34.29,Bottom,180.0
C57,59.69,85.09,Bottom,180.0
C58,59.69,63.50,Bottom,180.0
C59,59.69,41.91,Bottom,180.0
C60,59.69,20.32,Bottom,180.0
C61,38.10,85.09,Bottom,180.0
C62,38.10,63.50,Bottom,180.0
C63,38.10,41.91,Bottom,180.0
C64,38.10,20.32,Bottom,180.0
C65, 5.71, 2.54,Bottom,0.0
C66,12.07, 2.54,Bottom,180.0
C67,19.69,85.09,Bottom,90.0
C68,19.69,63.50,Bottom,90.0
C69,19.69,41.91,Bottom,90.0
C70,19.69,20.32,Bottom,90.0
D1,58.74,12.70,Bottom,0.0
D2,31.12, 2.86,Bottom,180.0
D3,20.32, 2.54,Bottom,0.0
IC1,31.75,40.01,Bottom,270.0
IC2,50.80, 3.81,Bottom,0.0
R1, 6.99,95.25,Bottom,270.0
R2, 5.71,95.25,Bottom,270.0
R3, 6.99,85.09,Bottom,90.0
R4, 8.26,85.09,Bottom,90.0
R5, 6.99,73.66,Bottom,270.0
R6, 5.71,73.66,Bottom,270.0
R7, 6.99,63.50,Bottom,90.0
R8, 8.26,63.50,Bottom,90.0
R9, 4.45,95.25,Bottom,270.0
R10, 5.71,85.09,Bottom,90.0
R11, 4.45,73.66,Bottom,270.0
R12, 5.71,63.50,Bottom,90.0
R13,41.91,98.43,Bottom,180.0
R14,29.85,97.16,Bottom,0.0
R15,31.12,94.62,Bottom,0.0
R16,40.64,97.16,Bottom,180.0
R17,41.59,76.84,Bottom,180.0
R18,29.53,75.56,Bottom,0.0
R19,30.80,73.03,Bottom,0.0
R20,40.32,75.56,Bottom,180.0
R21,31.12,95.89,Bottom,0.0
R22,30.80,74.30,Bottom,180.0
R23,40.32,98.74,Bottom,90.0
R24,40.64,95.89,Bottom,0.0
R25,31.43,97.47,Bottom,90.0
R26,40.01,77.15,Bottom,90.0
R27,40.32,74.30,Bottom,0.0
R28,31.12,75.88,Bottom,90.0
R29,17.14,11.43,Bottom,270.0
R30, 2.54, 9.53,Bottom,90.0
R31,18.41,11.43,Bottom,270.0
R32, 3.81, 9.53,Bottom,90.0
R33, 6.99,52.07,Bottom,270.0
R34, 5.71,52.07,Bottom,270.0
R35, 6.99,41.91,Bottom,90.0
R36, 8.26,41.91,Bottom,90.0
R37, 6.99,30.48,Bottom,270.0
R38, 5.71,30.48,Bottom,270.0
R39, 6.99,20.32,Bottom,90.0
R40, 8.26,20.32,Bottom,90.0
R41, 4.45,52.07,Bottom,270.0
R42, 5.71,41.91,Bottom,90.0
